"Genotype","Row","Col","Bench"
"G85",3,8,"Bench2"
"G88",4,8,"Bench2"
"G40",5,8,"Bench2"
"G54",6,8,"Bench2"
"G37",1,9,"Bench2"
"G78",2,9,"Bench2"
"G29",3,9,"Bench2"
"G66",4,9,"Bench2"
"G52",5,9,"Bench2"
"G74",6,9,"Bench2"
"G80",1,10,"Bench2"
"G26",2,10,"Bench2"
"G12",3,10,"Bench2"
"G50",4,10,"Bench2"
"G79",5,10,"Bench2"
"G55",6,10,"Bench2"
"G11",1,11,"Bench2"
"G48",2,11,"Bench2"
"G68",3,11,"Bench2"
"G25",4,11,"Bench2"
"G83",5,11,"Bench2"
"G16",6,11,"Bench2"
"G32",1,12,"Bench2"
"G15",2,12,"Bench2"
"G17",3,12,"Bench2"
"G71",4,12,"Bench2"
"G87",5,12,"Bench2"
"G45",6,12,"Bench2"
"G13",1,13,"Bench2"
"G21",2,13,"Bench2"
"G67",3,13,"Bench2"
"G84",4,13,"Bench2"
"G73",5,13,"Bench2"
"G43",6,13,"Bench2"
"G24",1,14,"Bench2"
"G57",2,14,"Bench2"
"G63",3,14,"Bench2"
"G08",4,14,"Bench2"
"G39",5,14,"Bench2"
"G28",6,14,"Bench2"
"G35",1,15,"Bench2"
"G62",2,15,"Bench2"
"G76",3,15,"Bench2"
"G44",4,15,"Bench2"
"G60",5,15,"Bench2"
"G07",6,15,"Bench2"
"G28",1,1,"Bench3"
"G55",2,1,"Bench3"
"G56",3,1,"Bench3"
"G46",4,1,"Bench3"
"G85",5,1,"Bench3"
"G88",6,1,"Bench3"
"G62",1,2,"Bench3"
"G69",2,2,"Bench3"
"G42",3,2,"Bench3"
"G12",4,2,"Bench3"
"G03",5,2,"Bench3"
"G18",6,2,"Bench3"
"G50",1,3,"Bench3"
"G47",2,3,"Bench3"
"G65",3,3,"Bench3"
"G08",4,3,"Bench3"
"G30",5,3,"Bench3"
"G20",6,3,"Bench3"
"G51",1,4,"Bench3"
"G34",2,4,"Bench3"
"G64",3,4,"Bench3"
"G21",4,4,"Bench3"
"G52",5,4,"Bench3"
"G40",6,4,"Bench3"
"G24",1,5,"Bench3"
"G82",2,5,"Bench3"
"G29",3,5,"Bench3"
"G71",4,5,"Bench3"
"G22",5,5,"Bench3"
"G04",6,5,"Bench3"
"G23",1,6,"Bench3"
"G17",2,6,"Bench3"
"G44",3,6,"Bench3"
"G89",4,6,"Bench3"
"G73",5,6,"Bench3"
"G72",6,6,"Bench3"
"G39",1,7,"Bench3"
"G09",2,7,"Bench3"
"G19",3,7,"Bench3"
"G83",4,7,"Bench3"
"G43",5,7,"Bench3"
"G78",6,7,"Bench3"
"G58",1,8,"Bench3"
"G59",2,8,"Bench3"
"G63",3,8,"Bench3"
"G07",4,8,"Bench3"
"G61",5,8,"Bench3"
"G01",6,8,"Bench3"
"G90",1,9,"Bench3"
"G77",2,9,"Bench3"
"G36",3,9,"Bench3"
"G87",4,9,"Bench3"
"G27",5,9,"Bench3"
"G70",6,9,"Bench3"
"G26",1,10,"Bench3"
"G57",2,10,"Bench3"
"G13",3,10,"Bench3"
"G76",4,10,"Bench3"
"G10",5,10,"Bench3"
"G14",6,10,"Bench3"
"G38",1,11,"Bench3"
"G49",2,11,"Bench3"
"G37",3,11,"Bench3"
"G31",4,11,"Bench3"
"G86",5,11,"Bench3"
"G35",6,11,"Bench3"
"G11",1,12,"Bench3"
"G53",2,12,"Bench3"
"G68",3,12,"Bench3"
"G05",4,12,"Bench3"
"G02",5,12,"Bench3"
"G60",6,12,"Bench3"
"G80",1,13,"Bench3"
"G81",2,13,"Bench3"
"G67",3,13,"Bench3"
"G66",4,13,"Bench3"
"G75",5,13,"Bench3"
"G54",6,13,"Bench3"
"G41",1,14,"Bench3"
"G16",2,14,"Bench3"
"G06",3,14,"Bench3"
"G33",4,14,"Bench3"
"G48",5,14,"Bench3"
"G45",6,14,"Bench3"
"G32",1,15,"Bench3"
"G79",2,15,"Bench3"
"G25",3,15,"Bench3"
"G84",4,15,"Bench3"
"G15",5,15,"Bench3"
"G74",6,15,"Bench3"
"G74",1,1,"Bench4"
"G21",2,1,"Bench4"
"G41",3,1,"Bench4"
"G39",4,1,"Bench4"
"G70",5,1,"Bench4"
"G52",6,1,"Bench4"
"G28",1,2,"Bench4"
"G08",2,2,"Bench4"
"G31",3,2,"Bench4"
"G62",4,2,"Bench4"
"G24",5,2,"Bench4"
"G37",6,2,"Bench4"
"G58",1,3,"Bench4"
"G11",2,3,"Bench4"
"G71",3,3,"Bench4"
"G56",4,3,"Bench4"
"G44",5,3,"Bench4"
"G04",6,3,"Bench4"
"G82",1,4,"Bench4"
"G85",2,4,"Bench4"
"G35",3,4,"Bench4"
"G61",4,4,"Bench4"
"G69",5,4,"Bench4"
"G65",6,4,"Bench4"
"G48",1,5,"Bench4"
"G05",2,5,"Bench4"
"G51",3,5,"Bench4"
"G17",4,5,"Bench4"
"G43",5,5,"Bench4"
"G01",6,5,"Bench4"
"G80",1,6,"Bench4"
"G33",2,6,"Bench4"
"G18",3,6,"Bench4"
"G03",4,6,"Bench4"
"G67",5,6,"Bench4"
"G87",6,6,"Bench4"
"G06",1,7,"Bench4"
"G16",2,7,"Bench4"
"G13",3,7,"Bench4"
"G59",4,7,"Bench4"
"G50",5,7,"Bench4"
"G10",6,7,"Bench4"
"G14",1,8,"Bench4"
"G42",2,8,"Bench4"
"G34",3,8,"Bench4"
"G53",4,8,"Bench4"
"G88",5,8,"Bench4"
"G63",6,8,"Bench4"
"G02",1,9,"Bench4"
"G15",2,9,"Bench4"
"G23",3,9,"Bench4"
"G27",4,9,"Bench4"
"G57",5,9,"Bench4"
"G46",6,9,"Bench4"
"G38",1,10,"Bench4"
"G22",2,10,"Bench4"
"G64",3,10,"Bench4"
"G36",4,10,"Bench4"
"G66",5,10,"Bench4"
"G54",6,10,"Bench4"
"G45",1,11,"Bench4"
"G49",2,11,"Bench4"
"G55",3,11,"Bench4"
"G83",4,11,"Bench4"
"G40",5,11,"Bench4"
"G86",6,11,"Bench4"
"G09",1,12,"Bench4"
"G79",2,12,"Bench4"
"G47",3,12,"Bench4"
"G72",4,12,"Bench4"
"G25",5,12,"Bench4"
"G30",6,12,"Bench4"
"G60",1,13,"Bench4"
"G75",2,13,"Bench4"
"G68",3,13,"Bench4"
"G12",4,13,"Bench4"
"G73",5,13,"Bench4"
"G32",6,13,"Bench4"
"G89",1,14,"Bench4"
"G20",2,14,"Bench4"
"G26",3,14,"Bench4"
"G77",4,14,"Bench4"
"G90",5,14,"Bench4"
"G19",6,14,"Bench4"
"G78",1,15,"Bench4"
"G81",2,15,"Bench4"
"G29",3,15,"Bench4"
"G76",4,15,"Bench4"
"G07",5,15,"Bench4"
"G84",6,15,"Bench4"
